hdd journal_jac_delalloc_1024/
1096000 2945000
1108000 2782000
1334000 2742000
1308000 2718000
170 641
0 1
165 595
0 0
163 623
0 62800
163 654
16 157600
145 669
22 1
154 690
74 32843
118 741
172 768
172 788
hdd ordered_nojac_delalloc_4096/
778000 562000
559000 191000
376000 1401000
546000 1507000
575000 1180000
424000 2049000
730000 3594000
892000 3570000
776000 3581000
799000 2983000
1036000 2964000
916000 2961000
1220000 2829000
1374000 2797000
1340000 2773000
166 756
105 141
145 609
125 480
100 516
166 440
94 522
144 531
131 515
129 462
166 572
148 537
158 612
173 792
172 773
589000 561000
429000 217000
342000 594000
473000 2096000
477000 2999000
397400 3556000
540000 4696000
642000 4666000
656000 4642000
557000 4956000
692000 4840000
681000 4834000
694000 5268000
756000 5200000
739000 5111000
171 763
104 164
145 535
126 28242
100 419000
166 444000
97 483000
141 667
139 537
129 610
165 588
155 661
154 643
172 788
173 802
777000 596000
594000 462000
394000 1275000
603000 2475000
655000 3027000
481000 2647000
812000 3519000
1009000 3552000
882000 3562000
873000 3024000
1140000 3000000
1033000 3012000
1172000 2827000
1338000 2792000
1317000 2767000
153 777
107 388000
154 795000
123 886000
100 1375000
170 1461000
95 720000
145 569
134 529
127 559
165 520
147 538
158 629
172 797
173 816
hdd ordered_nojac_nodelalloc_1024/
610000 327000
401000 54300
154000 9569
575000 508000
475000 59600
188100 19612
866000 3580000
844000 3582000
559000 3621000
849000 3063000
970000 3011000
824000 3015000
1129000 2818000
1293000 2796000
1194000 2763000
160 614
0 0
157 577
0 0
159 564
0 1
156 600
33 95300
124 611
49 1
131 650
89 440000
111 734
161 752
161 733
461000 374000
304000 42700
173000 12600
330600 536000
353400 60300
215900 17613
522000 4508000
657000 4466000
512000 4418000
480000 4800000
696000 4516000
508000 4733000
657000 5304000
738000 5203000
608000 5136000
159 596
0 0
158 560
0 0
157 589
0 1
155 585
35 89400
122 604
50 1
130 659
89 18970
112 727
162 736
160 740
587000 337000
354000 70300
182000 11100
455000 531000
449000 64800
225300 21626
852000 3656000
984000 3657000
634000 3641000
660000 3102000
1085000 3025000
717000 3100000
1112000 2821000
1207000 2791000
1066000 2767000
160 609
0 0
155 552
0 0
155 591
0 0
155 607
33 0
126 630
45 176000
134 670
91 33543
111 722
160 730
161 730
hdd ordered_nojac_nodelalloc_2048/
709000 411000
526000 62100
274000 19100
625000 725000
556000 159000
346600 576000
718000 3590000
890000 3614000
724000 3602000
839000 3048000
1025000 2881000
876000 3039000
1255000 2823000
1361000 2794000
1307000 2782000
131 632
0 1
154 592
0 53200
162 524000
0 151000
156 584
18 1
76 664
139 77000
69 716
83 160200
149 755
163 791
163 753
563000 451000
422000 75000
260000 14000
437000 612000
464000 81400
309500 23613
554000 4580000
645000 4634000
635000 4628000
577000 4922000
704000 4772000
656000 4807000
687000 5311000
755000 5210000
743000 5152000
168 609
0 1
164 602
0 68100
165 560
0 1
163 621
12 138800
152 667
19 1
154 719
75 225400
119 705000
172 747
172 771
734000 440000
508000 70100
283000 14200
587000 612000
599000 90400
322600 23358
998000 3590000
949000 3636000
962000 3630000
839000 3091000
1091000 2941000
1100000 3047000
1101000 2824000
1328000 2785000
1308000 2780000
170 636
0 1
164 529
0 62100
165 1036000
0 293700
165 627
12 39500
154 650
15 265500
158 912000
67 402000
122 736
172 747
172 742
hdd ordered_nojac_nodelalloc_4096/
766000 526000
560000 280000
387000 1310000
559000 3304000
568000 3148000
420000 3773000
708000 3606000
844000 3572000
848000 3578000
753000 3000000
1028000 2968000
957000 2971000
1193000 2813000
1366000 2783000
1340000 2759000
166 754
103 369000
146 507
125 529
104 525
167 459
97 444
139 509
139 506
125 545
166 531
154 576
154 614
173 776
173 785
580000 585000
445000 567000
334000 1637000
444000 2873000
482000 3085000
390600 2929000
548000 4674000
658000 4672000
566000 4600000
672000 4976000
692000 4876000
689000 4846000
665000 5287000
751000 5194000
743000 5146000
153 784
107 193
155 526
121 37458
92 984000
171 822000
99 1350000
150 487000
136 600
130 68700
166 1016000
146 1925000
157 2137000
173 801
173 779
766000 578000
598000 791000
387000 787000
587000 1628000
636000 893000
443000 540000
878000 3564000
990000 3507000
722000 3513000
1137000 3004000
1107000 2988000
1101000 3016000
1107000 2812000
1337000 2779000
1304000 2750000
153 805
107 197
153 655
125 501
100 490
170 470
95 488
145 552
133 481
127 503
164 546
147 530
159 702
173 792
172 803
hdd writeback_jac_delalloc_1024/
620000 335000
408000 55500
172000 14000
623000 596000
461000 84900
237400 20823
695000 3738000
833000 3772000
796000 3774000
652000 3155000
971000 3048000
951000 3144000
1125000 2849000
1357000 2820000
1334000 2801000
164 586
0 0
160 552
0 0
162 571
3 2
156 601
33 0
128 617
46 80200
134 659
88 260400
113 705
166 731
167 748
491000 353000
317000 59900
169000 13700
374700 552000
378600 65300
217300 18437
541000 4592000
628000 4542000
625000 4604000
460000 4926000
699000 4814000
620000 4783000
633000 5305000
742000 5208000
690000 5142000
164 597
0 0
161 543
0 62200
162 592
0 0
161 619
35 0
126 614
49 1
134 678
88 4
112 732
166 734
166 737
639000 357000
368000 57600
193000 12300
488000 563000
459000 74100
242800 20282
829000 3599000
990000 3689000
742000 3685000
664000 3123000
1115000 3019000
884000 3132000
1109000 2852000
1282000 2798000
1241000 2793000
163 587
0 0
159 551
0 208900
163 597
0 0
163 601
30 53000
131 607
45 1
135 664
91 223100
111 740
166 725
166 731
hdd writeback_jac_delalloc_2048/
729000 410000
541000 74000
290000 106000
561000 1240000
561000 824000
349400 21750
736000 3505000
844000 3592000
844000 3612000
759000 3091000
1000000 2887000
997000 3045000
1185000 2845000
